Unnamed: 0.1,Title,Time,View,Date,Like,Dislike,Comment
92,Surface Headphones 2: Matte Black Everything!,9.016666666666667,1851855,2020-05-20,76000,872,4429
93,The Budget Phone Blueprint!,10.283333333333333,2210178,2020-05-16,86000,2200,9554
94,The Fastest Phone of 2020!,11.1,4168307,2020-05-14,124000,3500,7910
95,The $700 Mac Pro Wheels: Explained!,9.266666666666667,5929034,2020-05-09,206000,10000,21780
96,"The 2020 13"" MacBook Pro Impressions: Wait a Minute!",9.016666666666667,3994438,2020-05-07,106000,2400,7737
97,Google Pixel Buds Review: WAY Better!,10.383333333333333,3782692,2020-05-06,133000,2200,8933
98,iPhone 11 Pro Review: 6 Months Later!,9.55,3632028,2020-05-02,119000,2900,8565
99,Moto Edge+ Review: We Need to Talk!,13.15,3630396,2020-04-30,113000,3700,9532
100,Cyborg R.A.T. 7 Unboxing [HD],5.816666666666666,36429,2010-08-27,231,10,91
101,GIVEAWAY: Beats by Dre Solo HD [Closed],1.0666666666666667,19791,2010-08-22,0,0,0
102,Dell Ultrasharp 2407WFPb Unboxing and Setup,4.85,40204,2010-08-16,269,11,106
103,Beats by Dre Solo HD Review,5.133333333333334,533894,2010-08-12,2700,310,1108
104,New MKBHD Intro,0.1,19033,2010-08-10,182,16,66
105,MKBHD Intro Contest [CLOSED],0.9166666666666666,10663,2010-08-03,0,0,46
106,Motorola Droid X 720p HD Video,0.7666666666666667,11862,2010-07-28,99,7,33
107,How to Play Snake on YouTube Videos,1.05,28484,2010-07-26,182,56,78
108,Scrolling Comments!,0.6333333333333333,8480,2010-07-23,0,0,124
109,Droid X Unboxing [HD],2.716666666666667,22321,2010-07-21,328,21,70
110,MKBHD Update 6.0,1.9166666666666665,150519,2011-08-07,6000,48,564
111,Firefox 4 Beta 1 Download,0.43333333333333335,17736,2010-06-30,0,0,0
112,Safari 5 Extensions [HD],2.65,10589,2010-06-27,105,7,30
113,HD Tutorial: DestroyTwitter 2.0.2,3.1166666666666667,6559,2010-06-22,54,3,35
114,YouTube Video Editor Tutorial [HD],3.3166666666666664,153359,2010-06-17,668,63,225
115,Cyborg R.A.T. Mouse Review,1.2,89640,2010-06-12,338,28,76
116,HD Tutorial: Safari 5,5.383333333333334,49486,2010-06-08,152,31,60
117,Unboxed: BlueLounge CableBox [HD],4.183333333333334,28064,2010-06-04,216,22,45
118,Google Moderator Module,2.0833333333333335,7775,2010-05-26,85,6,34
119,Unboxed: Intel X25-V 40GB SSD,3.1166666666666667,11333,2010-05-19,147,16,49
120,Unboxed: Motorola Droid Desktop Stand,2.783333333333333,10829,2010-05-12,118,10,27
121,HD Tutorial: YouTube Groups [Updated],2.75,13247,2010-05-07,262,6,108
122,HTC Droid Incredible Unboxing [HD],4.3,23791,2010-05-01,263,8,79
123,Samson MD5 Desktop Microphone Stand [HD],3.9166666666666665,13765,2010-04-29,119,9,35
124,Freeware EVERY Geek Should Use!,4.966666666666667,10702,2010-04-25,150,11,81
125,MKBHD Search Story,0.5666666666666667,20754,2010-04-14,283,17,40
126,Ultimate Frisbee Promo [HD],0.7333333333333333,90221,2010-04-05,473,23,0
127,The New YouTube [Overview in 720p HD],5.733333333333333,10454,2010-03-29,216,27,81
128,Tweetdeck Notifications!,3.033333333333333,18147,2010-03-22,124,24,55
129,Need for Speed Most Wanted Gameplay,7.983333333333333,85079,2010-03-12,702,32,214
130,Sound Check: Editors Keys SL150 Microphone [HD],2.7666666666666666,14399,2010-03-01,162,10,48
131,Unboxed: Cyber Acoustics 2.1 Speakers [HD],3.783333333333333,15558,2010-02-24,120,16,62
132,Unboxed: Epson NX415 [HD],2.9166666666666665,11879,2010-02-17,135,15,48
133,DealExtreme Unboxing! [HD],1.6333333333333333,22361,2010-02-10,131,20,87
134,Reviewed: uStream Producer,3.5666666666666664,14375,2010-02-04,151,15,0
135,The iPad Rant,3.183333333333333,59256,2010-01-28,1300,101,320
136,Windows 7 Contest [Why I Love Windows 7],1.15,13554,2010-01-24,286,45,141
137,Unboxed: 7-Port USB Hub [HD],2.55,8816,2010-01-18,116,10,43
138,Gateway HX2000 Unboxing [HD],4.333333333333333,13168,2010-01-12,154,5,59
139,HD Tutorial: Matrix Screensaver,2.8333333333333335,64941,2010-01-07,488,27,111
140,2010!,1.6333333333333333,53290,2009-12-31,882,16,332
141,iBellix Unboxing,2.5,6863,2009-12-28,84,8,48
142,Reviewed: Motorola DROID [HD],7.833333333333333,281468,2009-12-23,11000,79,2385
143,MKBHD Update 5.0,3.3,5263440,2009-12-19,186000,2900,27687
144,Entry: Gearlive HP Envy 13 Giveaway,1.2666666666666666,24950,2009-12-15,274,17,73
145,12 Giveaways of Christmas! *ENDED*,1.75,4103,2009-12-12,291,7,0
146,Zune HD Hardware Review,3.55,14831,2009-12-06,190,15,63
147,Sanyo Xacti CG10 HD Footage and Photos,3.8666666666666667,38985,2009-12-04,370,20,100
148,Unboxed: Sanyo Xacti CG10,4.15,31245,2009-12-03,623,18,149
149,"Unboxed: HP W1707 17"" Monitor [HD]",3.55,14617,2009-11-29,186,16,79
150,"World's ""FASTEST"" Gaming PC!",8.033333333333333,3320183,2020-04-28,144000,2800,9067
151,iPhone SE (2020) Review: It All Adds Up!,10.05,8509157,2020-04-22,274000,8300,26632
152,Apple Magic Keyboard: Floating iPad Pro?,9.216666666666667,5563965,2020-04-21,166000,3600,10464
153,iPhone SE (2020) Honest Thoughts...,8.85,4215855,2020-04-18,160000,4900,18583
154,OnePlus 8 Review: Special No More!,10.35,3083589,2020-04-17,94000,2200,7144
155,OnePlus 8 Pro Review: Finally a Flagship!,15.633333333333333,6060037,2020-04-14,175000,5200,15382
156,Last Video in this Studio!,9.516666666666667,1572663,2020-04-07,97000,1800,6463
157,What's On My Phone: 2020!,8.366666666666667,3547098,2020-03-28,114000,3600,7849
158,Huawei P40 Pro Impressions: What We Should Copy!,11.066666666666666,3615614,2020-03-26,94000,4700,8013
159,2020 iPad Pro Review: It's... A Computer?!,11.733333333333333,9388456,2020-03-24,230000,5600,13223
160,2020 MacBook Air Impressions: A Clean Refresh!,6.533333333333333,4783550,2020-03-20,159000,2600,6440
161,The Rollable Smartphone?,13.433333333333334,2712678,2020-03-17,94000,3100,7900
162,Samsung Galaxy S20 Review: All the Right Moves!,11.316666666666666,3861598,2020-03-14,95000,2700,7657
163,The Truth About the Escobar Folding Phone!,12.783333333333333,7904256,2020-03-11,330000,7000,18301
